Market,Submarket,Tier,Chain Class,Chain Scale,Brand,Company,Property,Rooms,Lat,Lng
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Trademark Collection by Wyndham,Wyndham Hotels & Resorts,"Riverbend Hotel and Suites, Trademark Collection by Wyndham",43,41.8994,-80.7984
"Ohio State Area, OH",Ohio South,Upper Tier,Upper Upscale,Independent,Postcard Cabins,Marriott International,Postcard Cabins Hocking Hills,40,,
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites Geneva at SPIRE Academy,88,41.7738,-80.9449
"Cincinnati, OH",CVG Airport,Mid Tier,Midscale,Midscale,Candlewood Suites,IHG Hotels & Resorts,Candlewood Suites Erlanger - South Cincinnati by IHG,108,39.0296,-84.6118
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton West Chester Cincinnati,116,39.3218,-84.4271
"Cincinnati, OH",Downtown Cincinnati,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn and Suites by Hilton Cincinnati Midtown Rookwood,103,39.1444,-84.4455
"Ohio State Area, OH",Mansfield/Ashland,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Mansfield,99,40.7817,-82.5867
"Dayton, OH",Springfield,Lower Tier,Economy,Economy,Studio 6,G6 Hospitality LLC,"Studio 6 Suites Springfield, OH",45,39.8941,-83.8131
"Youngstown, OH",,Upper Tier,Upscale,Upscale,SpringHill Suites,Marriott International,SpringHill Suites by Marriott Canfield,53,41.0222,-80.7262
"Youngstown, OH",,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Canfield,48,41.022,-80.726
"Ohio State Area, OH",Lima,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Lima by IHG,99,40.7271,-84.0703
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,SpringHill Suites,Marriott International,SpringHill Suites by Marriott Cincinnati Mason,61,39.3347,-84.2857
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites Cincinnati Mason,60,39.3347,-84.2856
"Dayton, OH",Downtown/DAY Airport,Lower Tier,Economy,Economy,Studio 6,G6 Hospitality LLC,Studio 6,50,39.8572,-84.2807
"Columbus, OH",Downtown Columbus,Upper Tier,Luxury,Independent,Independent,Independent,The Junto,198,39.9595,-83.009
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott New Philadelphia,88,40.4928,-81.4752
"Cincinnati, OH",CVG Airport,Upper Tier,Upscale,Upscale,Hilton Garden Inn,Hilton Worldwide,Hilton Garden Inn Florence Cincinnati Airport South,123,39.0129,-84.6367
"Ohio State Area, OH",Ohio North,Lower Tier,Economy,Economy,Suburban Studios,"Choice Hotels International, Inc.",Suburban Studio,43,41.6099,-84.5549
"Dayton, OH",Downtown/DAY Airport,Upper Tier,Upscale,Upscale,AC Hotels by Marriott,Marriott International,AC Hotel Dayton,134,39.763,-84.1852
"Dayton, OH",Downtown/DAY Airport,Lower Tier,Economy,Economy,WoodSpring Suites,"Choice Hotels International, Inc.",WoodSpring Suites Dayton North,99,39.8533,-84.1926
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Tappan Lakeside Resort,16,40.3573,-81.2088
"Ohio State Area, OH",Ohio South,Mid Tier,Midscale,Independent,Independent,Independent,Hocking Hills State Park Lodge & Conference Center,121,39.4249,-82.5502
"Sandusky, OH",,Mid Tier,Upper Midscale,Independent,Independent,Independent,Anchor Bay Inn and Suites,16,41.4433,-82.7643
"Cincinnati, OH",Cincinnati West,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Suites Cincinnati West,96,39.1885,-84.6538
"Cincinnati, OH",Cincinnati East,Upper Tier,Upscale,Upscale,Staybridge Suites,IHG Hotels & Resorts,"Staybridge Suites Cincinnati East - Milford, an IHG Hotel",92,39.158,-84.2765
"Columbus, OH",Worthington/Westerville,Upper Tier,Upscale,Upscale,Hyatt Place,Hyatt Hotels Corporation,Hyatt Place Columbus / Polaris,120,40.1449,-82.9648
"Cleveland, OH",Avon/I90 West,Mid Tier,Upper Midscale,Upper Midscale,Trademark Collection by Wyndham,Wyndham Hotels & Resorts,"The Orbit Hotel, Trademark Collection by Wyndham",54,41.4192,-81.8541
"Akron, OH",Akron,Upper Tier,Upper Upscale,Upper Upscale,Tribute Portfolio,Marriott International,"BLU-Tique, Akron, a Tribute Portfolio Hotel",71,41.0848,-81.5166
"Ohio State Area, OH",Ohio North,Upper Tier,Upper Upscale,Independent,Independent,Independent,Hotel Versailles,30,40.223,-84.4846
"Toledo, OH",Toledo West,Upper Tier,Upscale,Upscale,Homewood Suites by Hilton,Hilton Worldwide,Homewood Suites By Hilton Toledo Downtown,93,,
"Toledo, OH",Toledo West,Upper Tier,Upscale,Upscale,Hilton Garden Inn,Hilton Worldwide,Hilton Garden Inn Toledo Downtown,217,41.6488,-83.536
"Cincinnati, OH",Cincinnati West,Mid Tier,Upper Midscale,Independent,Independent,Independent,The Warehouse Hotel at Champion Mill,233,39.4083,-84.5613
"Cincinnati, OH",CVG Airport,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Cincinnati Airport South,105,39.0191,-84.6352
"Columbus, OH",Columbus South,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Columbus Canal Winchester,82,39.853,-82.8342
"Cleveland, OH",Downtown Cleveland,Upper Tier,Luxury,Independent,Roost Apartment Hotel,Method Co,ROOST Cleveland,62,41.4982,-81.6911
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield Inn & Suites Ashtabula,81,41.7831,-80.8533
"Akron, OH",Akron West,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn,IHG Hotels & Resorts,Holiday Inn Express Akron NW - Fairlawn,201,41.1302,-81.6151
"Dayton, OH",Downtown/DAY Airport,Mid Tier,Midscale,Midscale,Baymont,Wyndham Hotels & Resorts,Baymont by Wyndham Dayton North,84,39.8487,-84.191
"Columbus, OH",CMH Airport,Upper Tier,Upscale,Upscale,Homewood Suites by Hilton,Hilton Worldwide,Homewood Suites by Hilton Columbus Easton,96,40.0584,-82.9242
"Columbus, OH",CMH Airport,Upper Tier,Upscale,Upscale,Hilton Garden Inn,Hilton Worldwide,Hilton Garden Inn Columbus Easton,144,40.0584,-82.9242
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Cincinnati North/West Chester,107,39.3232,-84.4317
"Dayton, OH",Downtown/DAY Airport,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Dayton North - Vandalia by IHG,96,39.85,-84.196
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Sidney,80,40.2906,-84.1844
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Dayton Wilmington,94,39.4526,-83.797
"Columbus, OH",Downtown Columbus,Upper Tier,Upscale,Upscale,Hyatt House,Hyatt Hotels Corporation,Hyatt House Columbus OSU / Short North,152,39.9872,-83.0226
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Independent,Independent,Independent,Camp Cedar RV Resort,73,39.3601,-84.2573
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Ironton,109,38.5358,-82.6783
"Toledo, OH",Toledo East,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Perrysburg Toledo,98,41.5656,-83.5791
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cincinnati Downtown,120,39.1001,-84.5126
"Columbus, OH",Downtown Columbus,Upper Tier,Upscale,Upscale,AC Hotels by Marriott,Marriott International,"AC Hotel Columbus Downtown, OH",160,39.9727,-83.005
"Ohio State Area, OH",Lima,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Lima,110,40.7281,-84.0801
"Columbus, OH",Columbus West,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Columbus Dublin,105,40.0974,-83.1275
"Cincinnati, OH",Downtown Cincinnati,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Cincinnati Downtown,93,39.1036,-84.5157
"Dayton, OH",Dayton Northeast/Fairborn,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Dayton East - Beavercreek by IHG,87,39.7599,-84.0565
"Columbus, OH",Columbus South,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Canal Winchester Columbus,93,39.8563,-82.825
"Toledo, OH",Toledo East,Lower Tier,Economy,Economy,Days Inn,Wyndham Hotels & Resorts,Days Inn by Wyndham Perrysburg/Toledo,56,41.5476,-83.5997
"Columbus, OH",Worthington/Westerville,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton Columbus Polaris,115,40.1513,-82.9753
"Sandusky, OH",,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Milan – Sandusky Area by IHG,90,41.3297,-82.623
"Cincinnati, OH",CVG Airport,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn by Hilton Richwood Cincinnati South,91,38.9207,-84.6325
"Columbus, OH",Columbus West,Mid Tier,Midscale,Midscale,Avid,IHG Hotels & Resorts,avid hotel Columbus Northwest - Hilliard by IHG,84,40.0331,-83.1291
"Columbus, OH",CMH Airport,Upper Tier,Upscale,Upscale,aloft Hotel,Marriott International,Aloft Columbus Easton,136,40.0539,-82.9114
"Cincinnati, OH",Cincinnati East,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru By Hilton Milford Cincinnati,100,39.1554,-84.2688
"Ohio State Area, OH",Ohio South,Upper Tier,Upper Upscale,Independent,Independent,Independent,Worthington of Logan,36,39.5394,-82.4102
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Midscale,Avid,IHG Hotels & Resorts,avid hotel Cincinnati N - West Chester by IHG,95,39.3298,-84.4271
"Columbus, OH",Columbus West,Upper Tier,Upscale,Upscale,SpringHill Suites,Marriott International,SpringHill Suites by Marriott Columbus Dublin,145,40.1023,-83.1082
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton Springdale Cincinnati,108,39.2971,-84.4815
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Columbus Marysville,84,40.2427,-83.3483
"Columbus, OH",CMH Airport,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Columbus Airport,122,40.0002,-82.8903
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Wooster by IHG,98,40.851,-81.9431
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upper Upscale,Upper Upscale,Tribute Portfolio,Marriott International,"Kinley Cincinnati Downtown, a Tribute Portfolio Hotel",94,39.1033,-84.5151
"Dayton, OH",Downtown/DAY Airport,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Dayton North,100,39.8506,-84.1947
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Circleville,87,39.5808,-82.9506
"Columbus, OH",Downtown Columbus,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Columbus North - OSU,108,40.0076,-83.054
"Columbus, OH",CMH Airport,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Columbus Airport,97,39.9988,-82.9325
"Columbus, OH",Columbus South,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton Grove City Columbus,91,39.8748,-83.0509
"Columbus, OH",Columbus South,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Grove City Columbus,91,39.8752,-83.0505
"Cleveland, OH",Avon/I90 West,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Cleveland Tiedeman Road,81,41.4223,-81.7621
"Columbus, OH",Columbus West,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Columbus Hilliard,94,40.0361,-83.1292
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Midscale,My Place,My Place Hotels,"My Place Hotel-Marion, OH",64,40.5839,-83.0847
"Dayton, OH",Tipp City/Troy,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton Troy,236,40.0576,-84.2338
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,TownePlace Suites,Marriott International,TownePlace Suites by Marriott Cincinnati Fairfield,82,39.3188,-84.4942
"Cincinnati, OH",Franklin,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Monroe OH,94,39.4416,-84.3298
"Columbus, OH",Worthington/Westerville,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Columbus New Albany,120,40.0816,-82.8534
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Cobblestone Inn & Suites,"Cobblestone Hotels, LLC",Cobblestone Hotel & Suites - Urbana,54,40.0942,-83.7553
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upper Upscale,Upper Upscale,Autograph Collection,Marriott International,"The Lytle Park Hotel, Autograph Collection",106,39.1012,-84.5034
"Columbus, OH",Downtown Columbus,Upper Tier,Upscale,Upscale,aloft Hotel,Marriott International,Aloft Columbus University District,164,39.9864,-83.0257
"Sandusky, OH",,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Sandusky,80,41.3961,-82.6512
"Toledo, OH",Toledo East,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn,IHG Hotels & Resorts,Holiday Inn & Suites Toledo Southwest - Perrysburg by IHG,132,41.5453,-83.6003
"Toledo, OH",Toledo West,Lower Tier,Economy,Economy,WoodSpring Suites,"Choice Hotels International, Inc.",WoodSpring Suites Toledo Maumee,123,41.584,-83.6895
"Cincinnati, OH",Downtown Cincinnati,Upper Tier,Upscale,Independent,Independent,Independent,The Guild Downtown - Vine St Cincinnati,48,39.1034,-84.5134
"Cincinnati, OH",Cincinnati North,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Cincinnati Liberty Township,100,39.3665,-84.3679
"Cincinnati, OH",Cincinnati North,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Sharonville Cincinnati,98,39.2736,-84.4392
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Independent,Independent,Independent,Studio Lodge Columbus (Extended Stay),140,40.093,-82.9885
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Cincinnati Mason,97,39.322,-84.3088
"Columbus, OH",Columbus West,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites By Hilton Columbus West,107,39.9743,-83.149
"Cleveland, OH",Avon/I90 West,Mid Tier,Midscale,Independent,Independent,Independent,Ariel Broadway Hotel,56,41.4683,-82.1778
"Columbus, OH",Worthington/Westerville,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Columbus - Worthington by IHG,84,40.1134,-83.014
"Cincinnati, OH",CVG Airport,Upper Tier,Upscale,Upscale,Staybridge Suites,IHG Hotels & Resorts,Staybridge Suites Florence - Cincinnati South by IHG,91,39.0087,-84.6436
"Columbus, OH",Worthington/Westerville,Upper Tier,Upscale,Upscale,Drury Inn & Suites,Drury Inns,Drury Inn & Suites Columbus Polaris,187,40.1466,-82.9693
"Columbus, OH",Downtown Columbus,Mid Tier,Upper Midscale,Upper Midscale,MOXY,Marriott International,Moxy Columbus Short North,116,39.9786,-83.0036
"Dayton, OH",Dayton South/Miamisburg,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton Dayton South,108,39.598,-84.2429
"Toledo, OH",Toledo West,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Toledo West,110,41.6847,-83.6207
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,aloft Hotel,Marriott International,Aloft Cincinnati West Chester,108,39.3267,-84.4266
"Cincinnati, OH",CVG Airport,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Florence - Cincinnati Airport by IHG,90,39.0101,-84.6528
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Madison,82,41.7601,-81.0494
"Columbus, OH",Downtown Columbus,Upper Tier,Upper Upscale,Upper Upscale,Graduate Hotel,Hilton Worldwide,Graduate by Hilton Columbus,171,39.9776,-83.0033
"Dayton, OH",Dayton Northeast/Fairborn,Mid Tier,Upper Midscale,Upper Midscale,Home2 Suites by Hilton,Hilton Worldwide,Home2 Suites by Hilton Dayton Beavercreek,88,39.7631,-84.0555
"Dayton, OH",Dayton Northeast/Fairborn,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Beavercreek Dayton,109,39.7755,-84.0723
"Cincinnati, OH",CVG Airport,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Cincinnati Airport South/Florence,92,39.0081,-84.6537
"Dayton, OH",Dayton Northeast/Fairborn,Mid Tier,Midscale,Midscale,Tru by Hilton,Hilton Worldwide,Tru by Hilton Huber Heights Dayton,98,39.8694,-84.1077
"Toledo, OH",Toledo West,Upper Tier,Upscale,Upscale,Courtyard,Marriott International,Courtyard by Marriott Toledo West,118,41.6846,-83.6205
"Cleveland, OH",Downtown Cleveland,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Cleveland University Circle/Medical Center,175,41.5059,-81.6173
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Madison,81,41.7593,-81.0497
"Cleveland, OH",Cleveland Southeast,Upper Tier,Upscale,Upscale,Drury Inn & Suites,Drury Inns,Drury Inn & Suites Cleveland Beachwood,160,41.4478,-81.4874
"Cleveland, OH",Strongsville/Medina,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Cleveland Airport/Middleburg Heights,116,41.3709,-81.836
"Ohio State Area, OH",Ohio North,Upper Tier,Upscale,Independent,Postcard Cabins,Marriott International,Postcard Cabins Beaver Creek,38,40.7409,-80.6494
"Ohio State Area, OH",Ohio South,Mid Tier,Midscale,Midscale,MainStay Suites,"Choice Hotels International, Inc.",MainStay Suites Logan Ohio-Hocking Hills,29,39.5424,-82.4477
